global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
3427, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3428, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3429, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3430, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3431, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3432, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3433, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3434, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3435, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3436, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3437, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3438, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3439, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3440, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3441, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3442, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3443, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3444, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3445, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3446, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3447, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3448, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3449, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3450, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3451, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3452, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3453, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3454, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3455, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3456, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3457, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3458, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3459, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3460, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3461, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3462, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3463, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3464, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3465, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3466, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3467, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3468, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3469, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3470, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3471, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3472, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
