cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
351, 10, 0, 1, 1, 1, 0.999, 10, 3.33333
352, 8, 9, 3, 1, 1, 0.999, 19, 4.75
353, 10, 9, 2, 1, 1, 0.999, 28, 5.6
354, 10, 0, 2, 1, 1, 0.999, 28, 4.66667
355, 10, 0, 3, 1, 1, 0.999, 28, 4
356, 9, 9, 0, 1, 1, 0.999, 37, 4.625
357, 9, 0, 3, 1, 1, 0.999, 37, 4.11111
358, 9, 0, 3, 1, 1, 0.999, 37, 3.7
359, 9, 0, 3, 1, 1, 0.999, 37, 3.36364
360, 9, 0, 0, 1, 1, 0.999, 37, 3.08333
361, 9, 0, 0, 1, 1, 0.999, 37, 2.84615
362, 9, 0, 0, 1, 1, 0.999, 37, 2.64286
363, 9, 0, 0, 1, 1, 0.999, 37, 2.46667
364, 9, 0, 2, 1, 1, 0.999, 37, 2.3125
365, 5, 9, 1, 1, 1, 0.999, 46, 2.70588
366, 5, 0, 1, 1, 1, 0.999, 46, 2.55556
367, 5, 0, 3, 1, 1, 0.999, 46, 2.42105
368, 5, 0, 1, 1, 1, 0.999, 46, 2.3
369, 5, 0, 0, 1, 1, 0.999, 46, 2.19048
370, 9, 9, 0, 1, 1, 0.999, 55, 2.5
371, 9, 0, 2, 1, 1, 0.999, 55, 2.3913
372, 5, 9, 3, 1, 1, 0.999, 64, 2.66667
373, 5, 0, 0, 1, 1, 0.999, 64, 2.56
374, 9, 9, 0, 1, 1, 0.999, 73, 2.80769
375, 9, 0, 2, 1, 1, 0.999, 73, 2.7037
376, 5, 9, 2, 1, 1, 0.999, 82, 2.92857
377, 7, 9, 0, 1, 1, 0.999, 91, 3.13793
378, 5, 9, 2, 1, 1, 0.999, 100, 3.33333
379, 7, 9, 0, 1, 1, 0.999, 109, 3.51613
380, 5, 9, 2, 1, 1, 0.999, 118, 3.6875
381, 7, 9, 1, 1, 1, 0.999, 127, 3.84848
382, 7, 0, 0, 1, 1, 0.999, 127, 3.73529
383, 5, 9, 3, 1, 1, 0.999, 136, 3.88571
384, 5, 0, 2, 1, 1, 0.999, 136, 3.77778
385, 7, 9, 0, 1, 1, 0.999, 145, 3.91892
386, 5, 9, 2, 1, 1, 0.999, 154, 4.05263
387, 7, 9, 2, 1, 1, 0.999, 163, 4.17949
388, 7, 0, 0, 1, 1, 0.999, 163, 4.075
389, 5, 9, 0, 1, 1, 0.999, 172, 4.19512
390, 9, 9, 2, 1, 1, 0.999, 181, 4.30952
391, 5, 9, 2, 1, 1, 0.999, 190, 4.4186
392, 7, 9, 0, 1, 1, 0.999, 199, 4.52273
393, 5, 9, 3, 1, 1, 0.999, 208, 4.62222
394, 5, 0, 3, 1, 1, 0.999, 208, 4.52174
395, 5, 0, 3, 1, 1, 0.999, 208, 4.42553
396, 5, 0, 1, 1, 1, 0.999, 208, 4.33333
397, 5, 0, 1, 1, 1, 0.999, 208, 4.2449
398, 5, 0, 1, 1, 1, 0.999, 208, 4.16
399, 5, 0, 3, 1, 1, 0.999, 208, 4.07843
